Year,Age Group,Male,Female,Total
2009,21 - 24 years,71179,60945,132124
2010,21 - 24 years,68734,58225,126959
2011,21 - 24 years,65881,55281,121162
2012,21 - 24 years,62378,51737,114115
2013,21 - 24 years,58592,48373,106965
2014,21 - 24 years,57014,47419,104433
2015,21 - 24 years,55632,46334,101966
2016,21 - 24 years,54940,45134,100074
2017,21 - 24 years,55375,44953,100328
2018,21 - 24 years,56860,45790,102650
2019,21 - 24 years,61463,50351,111814
2020,21 - 24 years,60606,48997,109603
2021,21 - 24 years,63606,54209,117815
