console,North_America,Europe,Japan,Rest_of_World,Global,Total
PlayStation 2 (PS2),53.65,55.28,23.18,26.59,158.7,317.4
Nintendo DS (DS),57.92,51.84,32.99,11.28,154.02,308.05
Nintendo Switch (NS),42.95,30.15,27.44,18.45,118.99,237.98
Game Boy (GB),43.18,40.05,32.47,2.99,118.69,237.38
PlayStation 4 (PS4),38.2,45.92,9.59,23.33,117.04,234.08
PlayStation (PS),40.78,31.09,21.59,9.04,102.49,204.99
Nintendo Wii (Wii),45.51,33.12,12.77,10.23,101.63,203.26
PlayStation 3 (PS3),29.92,30.87,10.47,16.14,87.4,174.8
Xbox 360 (X360),47.09,25.08,1.66,11.9,85.73,171.46
Game Boy Advance (GBA),40.39,21.31,16.96,2.85,81.51,163.02
