Track_Name,Artist_Name,Beats_Per_Minute,Energy,Danceability,Liveness,Valence,Length,Acousticness,Speechiness,Popularity
Senorita,Shawn Mendes,117,55,76,8,75,191,4,3,79
China,Anuel AA,105,81,79,8,61,302,8,9,92
boyfriend ft Social House,Ariana Grande,190,80,40,16,70,186,12,46,85
Beautiful People ft Khalid,Ed Sheeran,93,65,64,8,55,198,12,19,86
Goodbyes ft Young Thug,Post Malone,150,65,58,11,18,175,45,7,94
I Don't Care ft Justin Bieber,Ed Sheeran,102,68,80,9,84,220,9,4,84
Ransom,Lil Tecca,180,64,75,7,23,131,2,29,92
How Do You Sleep,Sam Smith,111,68,48,8,35,202,15,9,90
Old Town Road  Remix,Lil Nas X,136,62,88,11,64,157,5,10,87
bad guy,Billie Eilish,135,43,70,10,56,194,33,38,95
Callaita,Bad Bunny,176,62,61,24,24,251,60,31,93
Loco Contigo feat. J. Balvin & Tyga,DJ Snake,96,71,82,15,38,185,28,7,86
Someone You Loved,Lewis Capaldi,110,41,50,11,45,182,75,3,88
Otro Trago - Remix,Sech,176,79,73,6,76,288,7,20,87
Money In The Grave Drake ft. Rick Ross,Drake,101,50,83,12,10,205,10,5,92
No Guidance feat. Drake,Chris Brown,93,45,70,16,14,261,12,15,82
LA CANCION,J Balvin,176,65,75,11,43,243,15,32,90
Sunflower - Spider-Man Into the Spider-Verse,Post Malone,90,48,76,7,91,158,56,5,91
Lalala,Y2K,130,39,84,14,50,161,18,8,88
Truth Hurts,Lizzo,158,62,72,12,41,173,11,11,91
